SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn
0,Yes,No,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,"Electronic check",29.85,No
0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,"One year",No,"Mailed check",56.95,No
0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,"Mailed check",53.85,Yes
0,No,No,45,No,No,DSL,Yes,No,Yes,Yes,No,No,"One year",No,"Bank transfer (automatic)",42.3,No
0,No,No,2,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",70.7,Yes
0,No,No,8,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",99.65,Yes
0,No,Yes,22,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Credit card (automatic)",89.1,No
0,No,No,10,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,"Mailed check",29.75,No
0,Yes,No,28,Yes,Yes,"Fiber optic",No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",104.8,Yes
0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,"One year",No,"Bank transfer (automatic)",56.15,No
0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,"Mailed check",49.95,No
0,No,No,16,Yes,No,No,No,No,No,No,No,No,"Two year",No,"Credit card (automatic)",18.95,No
0,Yes,No,58,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,"One year",No,"Credit card (automatic)",100.35,No
0,No,No,49,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",103.7,Yes
0,No,No,25,Yes,No,"Fiber optic",Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",105.5,No
0,Yes,Yes,69,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Credit card (automatic)",113.25,No
0,No,No,52,Yes,No,No,No,No,No,No,No,No,"One year",No,"Mailed check",20.65,No
0,No,Yes,71,Yes,Yes,"Fiber optic",Yes,No,Yes,No,Yes,Yes,"Two year",No,"Bank transfer (automatic)",106.7,No
0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,"Credit card (automatic)",55.2,Yes
